genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
genre fiction,"Amazon Digital Services,  Inc.",1267.0515,682.2585,1949.31,0.0,1969,(Indie Publisher),indie,4.85,0.99,37,14
genre fiction,"Amazon Digital Services,  Inc.",1267.0515,682.2585,1949.31,0.0,1969,(Indie Publisher),indie,4.67,0.99,37,28
genre fiction,Random House LLC,4061.91,4061.91,20309.55,12185.73,1907,Random House,big five,4.31,10.65,41,66
genre fiction,"Amazon Digital Services,  Inc.",1217.502,655.578,1873.08,0.0,1892,(Indie Publisher),indie,4.28,0.99,42,76
genre fiction,"Amazon Digital Services,  Inc.",2245.572,5239.668,7485.24,0.0,1876,(Indie Publisher),indie,4.28,3.99,43,5498
genre fiction,"Amazon Digital Services,  Inc.",740.678,740.678,3703.39,2222.034,1861,(Single-Author Publisher),single author,4.4,1.99,44,75
genre fiction,HarperCollins Publishers,2211.508,2211.508,11057.54,6634.524,1846,HarperCollins e-books,big five,4.02,5.99,45,104
genre fiction,"Amazon Digital Services,  Inc.",2558.34,2558.34,12791.7,7675.02,1830,(Small or Medium Publisher),small/medium,4.19,6.99,46,13962
genre fiction,"Amazon Digital Services,  Inc.",5838.3,3143.7,8982.0,0.0,1800,47North,amazon,4.12,4.99,48,141
nonfiction,"Amazon Digital Services,  Inc.",716.4,716.4,3582.0,2149.2,1800,(Small or Medium Publisher),small/medium,4.12,1.99,48,33
nonfiction,"Amazon Digital Services,  Inc.",353.232,353.232,1766.16,1059.696,1784,(Single-Author Publisher),single author,5.0,0.99,49,9
genre fiction,Penguin Group (USA) LLC,2119.262,2119.262,10596.31,6357.786,1769,Putnam Adult,big five,4.28,5.99,50,1364
genre fiction,Hachette Book Group,3011.654,3011.654,15058.27,9034.962,1753,"Little, Brown and Company",big five,4.56,8.59,51,157
genre fiction,"Amazon Digital Services,  Inc.",344.124,344.124,1720.62,1032.372,1738,(Small or Medium Publisher),small/medium,4.92,0.99,52,42
genre fiction,Random House LLC,341.154,341.154,1705.77,1023.462,1723,Loveswept,big five,4.21,0.99,53,41
genre fiction,"Amazon Digital Services,  Inc.",5536.6545,2981.2755,8517.93,0.0,1707,Montlake Romance,amazon,4.52,4.99,54,258
genre fiction,Macmillan,335.016,335.016,1675.08,1005.048,1692,Entangled: Brazen,big five,4.59,0.99,55,114
genre fiction,"Amazon Digital Services,  Inc.",2006.172,4681.068,6687.24,0.0,1676,(Indie Publisher),indie,4.95,3.99,56,310
genre fiction,Penguin Group (USA) LLC,993.278,993.278,4966.39,2979.834,1661,Berkley,big five,4.26,2.99,57,2028
genre fiction,"Amazon Digital Services,  Inc.",325.908,325.908,1629.54,977.724,1646,(Small or Medium Publisher),small/medium,3.86,0.99,58,38
genre fiction,Penguin Group (USA) LLC,3556.66,3556.66,17783.3,10669.98,1630,Dutton Adult,big five,4.44,10.91,59,354
genre fiction,"Amazon Digital Services,  Inc.",1048.905,564.795,1613.7,0.0,1630,(Indie Publisher),indie,4.79,0.99,59,339
genre fiction,Hachette Book Group,3678.97,3678.97,18394.85,11036.91,1615,"Little, Brown and Company",big five,4.45,11.39,60,1603
genre fiction,Random House LLC,2076.8,2076.8,10384.0,6230.4,1600,Bantam,big five,4.0,6.49,61,2659
genre fiction,"Amazon Digital Services,  Inc.",1896.048,4424.112,6320.16,0.0,1584,(Indie Publisher),indie,4.61,3.99,62,505
genre fiction,"Amazon Digital Services,  Inc.",1412.1,3294.9,4707.0,0.0,1569,(Indie Publisher),indie,4.67,3.0,63,199
genre fiction,"Amazon Digital Services,  Inc.",989.703,532.917,1522.62,0.0,1538,(Indie Publisher),indie,4.87,0.99,65,32
genre fiction,"Amazon Digital Services,  Inc.",1777.341,4147.129,5924.47,0.0,1523,(Indie Publisher),indie,4.48,3.89,66,1257
